SOLVER_HANDLE,PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_LVL,HASH_ID
siasia212,5597,과제 안 내신 분..?,impl,3,5597
siasia212,5612,터널의 입구와 출구,impl simulation,3,5612
siasia212,5622,다이얼,impl,4,5622
siasia212,5691,평균 중앙값 문제,math arithmetic,3,5691
siasia212,5717,상근이의 친구들,math arithmetic,1,5717
siasia212,5789,한다 안한다,impl string,3,5789
siasia212,5893,17배,math impl arbitrary_precision_/_big_integers,3,5893
siasia212,5928,Contest Timing,math impl arithmetic,2,5928
siasia212,5988,홀수일까 짝수일까,math string arithmetic arbitrary_precision_/_big_integers,3,5988
siasia212,6064,카잉 달력,math bruteforce number_theory crt,10,6064
siasia212,6186,Best Grass,impl graph traversal bfs,6,6186
siasia212,6321,IBM 빼기 1,string impl,3,6321
siasia212,6749,Next in line,impl math,2,6749
siasia212,6763,Speed fines are not fine!,impl,2,6763
siasia212,6764,Sounds fishy!,impl,2,6764
siasia212,6778,Which Alien?,impl,2,6778
siasia212,6810,ISBN,math impl arithmetic,2,6810
siasia212,6825,Body Mass Index,math arithmetic,2,6825
siasia212,6840,Who is in the middle?,impl,1,6840
siasia212,6841,I Speak TXTMSG,impl string,2,6841
siasia212,6887,Squares,math arithmetic,2,6887
siasia212,6888,Terms of Office,math number_theory,2,6888
siasia212,7287,등록,impl,1,7287
siasia212,7568,덩치,impl bruteforce,6,7568
siasia212,7569,토마토,bfs graph traversal grid_graph shortest_path,11,7569
siasia212,7576,토마토,bfs graph traversal grid_graph shortest_path,11,7576
siasia212,7595,Triangles,impl,2,7595
siasia212,7662,이중 우선순위 큐,ds set treeset priority_queue,12,7662
siasia212,7685,Nim,game_theory sprague–grundy_thm,13,7685
siasia212,7785,회사에 있는 사람,ds set hashset,6,7785
siasia212,7795,먹을 것인가 먹힐 것인가,sorting binary_search two-pointer,8,7795
siasia212,7891,Can you add this?,math impl arithmetic,1,7891
siasia212,7894,큰 수,math,12,7894
siasia212,8370,Plane,math arithmetic,1,8370
siasia212,8393,합,impl math,1,8393
siasia212,8437,Julka,math arithmetic arbitrary_precision_/_big_integers,1,8437
siasia212,8545,Zadanie próbne,impl string,1,8545
siasia212,8558,Silnia,math arithmetic,2,8558
siasia212,8674,Tabliczka,math,2,8674
siasia212,8710,Koszykarz,math arithmetic,2,8710
siasia212,8723,Patyki,math geom arithmetic pythagoras_thm,2,8723
siasia212,8760,Schronisko,math arithmetic,2,8760
siasia212,8871,Zadanie próbne 2,math arithmetic,1,8871
siasia212,8958,OX퀴즈,impl string,4,8958
siasia212,9012,괄호,ds string stack,7,9012
siasia212,9019,DSLR,graph traversal bfs traceback,12,9019
siasia212,9047,6174,impl string sorting simulation,6,9047
siasia212,9063,대지,math impl geom,3,9063
siasia212,9085,더하기,math impl arithmetic,3,9085
siasia212,9086,문자열,impl string,1,9086
siasia212,9095,"1, 2, 3 더하기",dp,8,9095
siasia212,9184,신나는 함수 실행,dp recursion,9,9184
siasia212,9251,LCS,dp string lcs,11,9251
siasia212,9252,LCS 2,dp string traceback lcs,12,9252
siasia212,9291,스도쿠 채점,impl bruteforce,7,9291
siasia212,9295,주사위,math impl arithmetic,2,9295
siasia212,9306,Practice: Roll Call,impl,2,9306
siasia212,9311,Robot in a Maze,graph traversal bfs,8,9311
siasia212,9316,Hello Judge,impl,1,9316
siasia212,9325,얼마?,math arithmetic,3,9325
siasia212,9328,열쇠,impl graph traversal bfs grid_graph,15,9328
siasia212,9366,삼각형 분류,arithmetic case_work geom impl math,3,9366
siasia212,9375,패션왕 신해빈,math ds set combinatorics hashset,8,9375
siasia212,9461,파도반 수열,math dp,8,9461
siasia212,9465,스티커,dp,10,9465
siasia212,9466,텀 프로젝트,graph traversal dfs,13,9466
siasia212,9498,시험 성적,impl,1,9498
siasia212,9506,약수들의 합,math impl number_theory,5,9506
siasia212,9550,아이들은 사탕을 좋아해,math arithmetic,3,9550
siasia212,9610,사분면,math impl,3,9610
siasia212,9613,GCD 합,math number_theory euclidean_algorithm,7,9613
siasia212,9625,BABBA,dp,6,9625
siasia212,9653,스타워즈 로고,impl,1,9653
siasia212,9654,나부 함대 데이터,impl,1,9654
siasia212,9655,돌 게임,math dp game_theory,6,9655
siasia212,9656,돌 게임 2,math dp game_theory,6,9656
siasia212,9657,돌 게임 3,dp game_theory,8,9657
siasia212,9660,돌 게임 6,game_theory,11,9660
siasia212,9661,돌 게임 7,math game_theory,14,9661
siasia212,9699,RICE SACK,impl,2,9699
siasia212,9711,피보나치,math dp,8,9711
siasia212,9772,Quadrants,math impl geom,2,9772
siasia212,9782,Median,math impl,2,9782
siasia212,10026,적록색약,graph traversal bfs dfs grid_graph,11,10026
siasia212,10039,평균 점수,math arithmetic,2,10039
siasia212,10041,관광,math arithmetic case_work,5,10041
siasia212,10101,삼각형 외우기,impl geom,2,10101
siasia212,10102,개표,string,3,10102
siasia212,10103,주사위 게임,arithmetic impl math simulation,3,10103
siasia212,10156,과자,math arithmetic,2,10156
siasia212,10158,개미,math ad-hoc arithmetic,8,10158
siasia212,10162,전자레인지,math impl greedy,3,10162
siasia212,10170,NFC West vs North,impl,1,10170
siasia212,10171,고양이,impl,1,10171
siasia212,10172,개,impl,1,10172
siasia212,10178,할로윈의 사탕,math arithmetic,3,10178
siasia212,10179,쿠폰,math impl arithmetic,3,10179
siasia212,10188,Quadrilateral,impl,2,10188
siasia212,10189,Hook,impl,1,10189
siasia212,10214,Baseball,impl,3,10214
siasia212,10250,ACM 호텔,math impl arithmetic,3,10250
siasia212,10430,나머지,impl arithmetic math,1,10430
siasia212,10480,Oddities,math impl arithmetic,2,10480
siasia212,10569,다면체,math geom arithmetic euler_characteristic,2,10569
siasia212,10699,오늘 날짜,impl,1,10699
siasia212,10707,수도요금,arithmetic math,3,10707
siasia212,10718,We love kriii,impl,1,10718
siasia212,10757,큰 수 A+B,impl arbitrary_precision_/_big_integers arithmetic math,1,10757
siasia212,10768,특별한 날,impl,2,10768
siasia212,10773,제로,impl ds stack,7,10773
siasia212,10797,10부제,impl,2,10797
siasia212,10798,세로읽기,impl string,5,10798
siasia212,10807,개수 세기,impl,1,10807
siasia212,10808,알파벳 개수,impl string,2,10808
siasia212,10809,알파벳 찾기,impl string,4,10809
siasia212,10810,공 넣기,impl simulation,3,10810
siasia212,10811,바구니 뒤집기,impl simulation,4,10811
siasia212,10813,공 바꾸기,impl simulation,4,10813
