SOLVER_HANDLE,PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_LVL,HASH_ID
h0ngjun7,3392,화성 지도,ds segtree sweeping,19,3392
h0ngjun7,3405,파산하는 왕국,dp graph bitmask bitfield dp,16,3405
h0ngjun7,3406,Who wants to live forever?,d&c math,21,3406
h0ngjun7,3407,맹세,dp graph string bruteforce traversal,10,3407
h0ngjun7,3408,Non-boring sequences,ds segtree set d&c,21,3408
h0ngjun7,3409,문자 방정식,dfs dp graph traversal parsing string tree,21,3409
h0ngjun7,3411,Jewel heist,ds segtree sweeping,20,3411
h0ngjun7,3412,Darts,geom pythagoras thm,5,3412
h0ngjun7,3413,The Dragon and the knights,ds euler characteristic geom,19,3413
h0ngjun7,3414,Conservation,graph dag topological sorting,14,3414
h0ngjun7,3417,Vigenère Cipher Encryption,impl string,4,3417
h0ngjun7,3418,Unique Encryption Keys,dp,15,3418
h0ngjun7,3423,The Grille,impl,8,3423
h0ngjun7,3428,Casting Spells,string manacher's,19,3428
h0ngjun7,3429,방어선,dp ds segtree,17,3429
h0ngjun7,3430,용이 산다,ds greedy set treeset priority queue,15,3430
h0ngjun7,3432,Game,bruteforce impl,5,3432
h0ngjun7,3437,Phone Cell,geom parametric search,22,3437
h0ngjun7,3442,직각 다각형,geom sorting,16,3442
h0ngjun7,3444,Robotic Sort,ds tree splay tree,23,3444
h0ngjun7,3447,버그왕,string parsing,5,3447
h0ngjun7,3448,문자 인식,impl string,5,3448
h0ngjun7,3449,해밍 거리,string,3,3449
h0ngjun7,3460,이진수,math impl,3,3460
h0ngjun7,3462,이진 스털링 수,math combinatorics,16,3462
h0ngjun7,3474,교수가 된 현우,math number theory,8,3474
h0ngjun7,3478,Run Away,,0,3478
h0ngjun7,3495,아스키 도형,impl geom parity,10,3495
h0ngjun7,3498,사전의 크기,combinatorics ds math tree trie,20,3498
h0ngjun7,3501,최대공약수 맞추기 게임,math greedy number theory,19,3501
h0ngjun7,3541,상근타워,math binary search,9,3541
h0ngjun7,3565,피보나치 진법,math impl dp,18,3565
h0ngjun7,3566,대형 스크린,math impl arithmetic,5,3566
h0ngjun7,3584,가장 가까운 공통 조상,graph traversal tree dfs lca,12,3584
h0ngjun7,3593,DFA,ds hash hashset string tree trie set,19,3593
h0ngjun7,3595,맥주 냉장고,math bruteforce,4,3595
h0ngjun7,3611,팀의 난이도,graph binary search parametric search flow mfmc,24,3611
h0ngjun7,3613,Java vs C++,impl string case work parsing,8,3613
h0ngjun7,3614,정사각형,euclidean algorithm math number theory,13,3614
h0ngjun7,3621,족보,greedy math,10,3621
h0ngjun7,3622,어떤 호박의 할로윈 여행,geom case work,4,3622
h0ngjun7,3640,제독,graph flow mcmf,19,3640
h0ngjun7,3644,그래프 매칭,dp arbitrary precision / big integers,13,3644
h0ngjun7,3645,토너먼트 조작,impl graph constructive simulation,20,3645
h0ngjun7,3648,아이돌,graph scc 2-sat,18,3648
h0ngjun7,3649,로봇 프로젝트,sorting binary search two-pointer,11,3649
h0ngjun7,3651,이항계수,math binary search combinatorics,16,3651
h0ngjun7,3652,새트리,math recursion,11,3652
h0ngjun7,3653,영화 수집,ds segtree,17,3653
h0ngjun7,3654,L퍼즐,graph scc 2-sat,22,3654
h0ngjun7,3655,먼저 가세요,greedy sorting string,11,3655
h0ngjun7,3656,수영장 만들기,graph flow mfmc,21,3656
h0ngjun7,3660,열차 지연,bellman-ford dijkstra's graph shortest path,20,3660
h0ngjun7,3663,고득점,greedy bruteforce,13,3663
h0ngjun7,3671,산업 스파이의 편지,math bruteforce number theory combinatorics primality test eratosthenes,11,3671
h0ngjun7,3673,나눌 수 있는 부분 수열,math prefix sum,13,3673
h0ngjun7,3678,카탄의 개척자,impl simulation,15,3678
h0ngjun7,3679,단순 다각형,sorting geom convex hull angle sorting,17,3679
h0ngjun7,3682,동치 증명,graph scc,19,3682
h0ngjun7,3683,고양이와 개,bipartite matching,19,3683
h0ngjun7,3684,어려운 문제,bruteforce,8,3684
h0ngjun7,3687,성냥개비,dp greedy,14,3687
h0ngjun7,3693,컨테이너,bruteforce math,11,3693
h0ngjun7,3695,Escape from Enemy Territory,bfs graph traversal parametric search,13,3695
h0ngjun7,3697,정상,graph ds traversal sorting bfs dsu grid graph,17,3697
h0ngjun7,3698,애매함,dp hash traceback,16,3698
h0ngjun7,3699,주차 빌딩,impl math,7,3699
h0ngjun7,3700,걷기,geom point in non-convex polygon check sorting,17,3700
h0ngjun7,3711,학번,math bruteforce number theory set,6,3711
h0ngjun7,3727,프로그래밍 대회,,0,3727
h0ngjun7,3734,RSA 인수 분해,ad-hoc arbitrary precision / big integers bruteforce math number theory,16,3734
h0ngjun7,3745,오름세,binary search lis,14,3745
h0ngjun7,3758,KCPC,impl sorting,9,3758
h0ngjun7,3763,스도쿠,backtrack x dancing links,24,3763
h0ngjun7,3769,최댓값,math greedy,20,3769
h0ngjun7,3770,대한민국,ds segtree,16,3770
h0ngjun7,3778,애너그램 거리,impl string,4,3778
h0ngjun7,3779,주기,string kmp,17,3779
h0ngjun7,3780,네트워크 연결,ds dsu,16,3780
h0ngjun7,3783,세제곱근,math binary search arbitrary precision / big integers numerical analysis,14,3783
h0ngjun7,3793,Common Subsequence,dp,11,3793
h0ngjun7,3806,S를 T로,greedy,13,3806
h0ngjun7,3807,고창영 비밀번호의 비밀,math number theory,20,3807
h0ngjun7,3808,ACGU,,0,3808
h0ngjun7,3825,은행수,math bruteforce number theory primality test,12,3825
h0ngjun7,3827,일차원 세포 자동자,math exponentiation by squaring linear algebra,16,3827
h0ngjun7,3830,교수님은 기다리지 않는다,ds dsu,18,3830
h0ngjun7,3841,Non-negative Partial Sums,ds deque prefix sum,15,3841
h0ngjun7,3845,잔디깎기,sorting sweeping,6,3845
h0ngjun7,3863,행복한 전화 통화,impl bruteforce,6,3863
h0ngjun7,3875,Cubist Artwork,greedy,12,3875
h0ngjun7,3878,점 분리,geom convex hull line segment intersection check point in convex polygon check,19,3878
h0ngjun7,3881,말파티 원,math geom binary search,17,3881
h0ngjun7,3895,그리고 하나가 남았다,math dp ds number theory segtree,16,3895
h0ngjun7,3903,제주도,geom binary search hpi,22,3903
h0ngjun7,3908,서로 다른 소수의 합,math dp number theory primality test eratosthenes,13,3908
h0ngjun7,3910,거듭제곱 계산,graph traversal backtrack precomputation,14,3910
h0ngjun7,3923,저울,math bruteforce,9,3923
h0ngjun7,3925,암호화의 취약점 찾기,bitmask impl math,12,3925
h0ngjun7,3933,라그랑주의 네 제곱수 정리,dp bruteforce,11,3933
h0ngjun7,3935,바람의 신,dp bitmask,18,3935
h0ngjun7,3943,헤일스톤 수열,impl simulation,4,3943
h0ngjun7,3944,나머지 계산,math number theory,9,3944
h0ngjun7,3945,Pen Counts,math,12,3945
h0ngjun7,3946,랜덤 걷기,math dp probability,18,3946
h0ngjun7,3947,폴하버의 삼각형,math dp,9,3947
h0ngjun7,3948,홍준이의 친위대,math dp combinatorics,16,3948
h0ngjun7,3952,Mystery,impl string,7,3952
h0ngjun7,3955,캔디 분배,math number theory extended euclidean algorithm,16,3955
h0ngjun7,3961,터치스크린 키보드,impl string sorting,9,3961
h0ngjun7,3964,팩토리얼과 거듭제곱,math number theory primality test eratosthenes prime factorization,14,3964
h0ngjun7,3973,Time To Live,dp graph traversal tree dfs tree dp tree diameter,14,3973
h0ngjun7,3976,역습,dp,9,3976
h0ngjun7,3978,Hacking,ds string bruteforce set,11,3978
h0ngjun7,3980,선발 명단,bruteforce backtrack,11,3980
h0ngjun7,3985,롤 케이크,impl simulation,5,3985
h0ngjun7,3986,좋은 단어,ds stack,7,3986
h0ngjun7,3987,보이저 1호,impl graph traversal simulation,11,3987
h0ngjun7,3988,수 고르기,ds sorting set priority queue deque sliding window,17,3988
h0ngjun7,3989,유행성 독감,ds exponentiation by squaring math,16,3989
h0ngjun7,3990,화면 보호기,math ds segtree,19,3990
h0ngjun7,3991,한번 쏘면 멈출 수 없어,impl constructive,8,3991
h0ngjun7,3996,위대한 사기꾼,math dp,12,3996
h0ngjun7,3997,하이퍼드롬,ds set prefix sum bitmask parity,15,3997
h0ngjun7,3999,텔레점프,ad-hoc case work constructive,20,3999
h0ngjun7,4001,미노타우르스 미궁,graph traversal binary search prefix sum grid graph,22,4001
h0ngjun7,4002,닌자배치,ds tree priority queue smaller to larger,20,4002
h0ngjun7,4005,테이블 색칠하기,ds dsu graph traversal math,21,4005
h0ngjun7,4006,경로 찾기,compression dijkstra's geom graph shortest path sweeping,20,4006
h0ngjun7,4008,특공대,dp cht,21,4008
h0ngjun7,4009,순찰,dp tree tree dp,23,4009
h0ngjun7,4010,신호,combinatorics geom math sweeping,23,4010
h0ngjun7,4013,ATM,dp graph dag topological sorting scc,19,4013
h0ngjun7,4017,동물원,bitmask dp bitfield dp,18,4017
h0ngjun7,4030,포켓볼,math binary search precomputation,9,4030
h0ngjun7,4067,Target Practice,bruteforce,12,4067
h0ngjun7,4078,Square Count,,0,4078
h0ngjun7,4084,Viva la Diferencia,math impl simulation arithmetic,3,4084
h0ngjun7,4095,최대 정사각형,dp prefix sum,12,4095
h0ngjun7,4096,팰린드로미터,string bruteforce,7,4096
h0ngjun7,4097,수익,dp maximum subarray,9,4097
h0ngjun7,4101,크냐?,impl,1,4101
h0ngjun7,4134,다음 소수,math bruteforce number theory primality test,7,4134
h0ngjun7,4150,피보나치 수,math arbitrary precision / big integers,5,4150
h0ngjun7,4153,직각삼각형,math geom pythagoras thm,3,4153
h0ngjun7,4158,CD,ds binary search set hashset two-pointer,6,4158
h0ngjun7,4159,알래스카,sorting,8,4159
h0ngjun7,4161,나이트의 여행,math ad-hoc case work,16,4161
h0ngjun7,4195,친구 네트워크,ds set hashset dsu,14,4195
h0ngjun7,4196,도미노,graph dag topological sorting scc,17,4196
h0ngjun7,4198,열차정렬,dp lis,15,4198
h0ngjun7,4206,피보나치 단어,dp string kmp,21,4206
h0ngjun7,4214,Takeover Wars,greedy,24,4214
h0ngjun7,4217,신성 문자,graph traversal bfs dfs grid graph ff,15,4217
h0ngjun7,4219,커피 전문점,impl prefix sum,18,4219
h0ngjun7,4222,Mining Your Own Business,articulation points and bridges biconnected component graph,22,4222
h0ngjun7,4223,Mummy Madness,binary search ds segtree sweeping,23,4223
h0ngjun7,4225,쓰레기 슈트,geom convex hull,18,4225
h0ngjun7,4233,가짜소수,math number theory primality test exponentiation by squaring fermat's little thm,11,4233
h0ngjun7,4237,비 단조성,greedy ad-hoc,12,4237
h0ngjun7,4240,Texas Trip,geom heuristics ternary search,18,4240
h0ngjun7,4243,보안 업체,dp,18,4243
h0ngjun7,4256,트리,tree d&c recursion,14,4256
h0ngjun7,4284,A Walk Through the Forest,dag ds dijkstra's dp graph shortest path topological sorting,15,4284
h0ngjun7,4299,AFC 윔블던,math arithmetic,2,4299
h0ngjun7,4307,개미,ad-hoc,10,4307
h0ngjun7,4320,완전 P제곱수,math,11,4320
h0ngjun7,4328,기초 나머지 계산,math arithmetic arbitrary precision / big integers,5,4328
h0ngjun7,4332,Persistent Numbers,greedy math number theory,11,4332
h0ngjun7,4335,숫자 맞추기,impl,6,4335
h0ngjun7,4342,유클리드 게임,math number theory game theory euclidean algorithm,14,4342
h0ngjun7,4344,평균은 넘겠지,math arithmetic,5,4344
h0ngjun7,4348,막대 정사각형,bitmask dp bitfield dp,19,4348
h0ngjun7,4354,문자열 제곱,string kmp,16,4354
h0ngjun7,4355,서로소,math number theory euler phi function,15,4355
h0ngjun7,4357,이산 로그,math number theory meet in the middle fermat's little thm discrete logarithm,20,4357
h0ngjun7,4358,생태학,ds string set hashset treeset,9,4358
h0ngjun7,4373,수집합,ds set hashset two-pointer meet in the middle,15,4373
h0ngjun7,4375,1,math bruteforce number theory,8,4375
h0ngjun7,4376,Gopher II,geom bipartite matching,17,4376
h0ngjun7,4383,점프는 즐거워,impl,6,4383
h0ngjun7,4388,받아올림,math impl arithmetic,4,4388
h0ngjun7,4395,Steps,math,11,4395
h0ngjun7,4404,Dog & Gopher,geom math pythagoras thm,5,4404
h0ngjun7,4416,Prime Distance,math number theory primality test eratosthenes,13,4416
h0ngjun7,4435,중간계 전쟁,math impl arithmetic,3,4435
h0ngjun7,4436,엘프의 검,math bruteforce,4,4436
h0ngjun7,4447,좋은놈 나쁜놈,impl string,4,4447
